,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,source,ref,cand,qual,target,data,backTrans,2gramBleu,3gramBleu,4gramBleu,backTransGram1,backTransGram2,backTransGram3,backTransGram4
0,0,0,0,0,0,0.0,"发言人 说 , 世人 共 知 , 中国 的 发展 不仅 符合 13 亿 中国人民 的 根本利益 , 也 有利于 世界 的 繁荣 与 发展 .",the spokesman noted that it is known to all the world that china's development is not only in the fundamental interests of the 1.3 billion chinese people but also beneficial to the world's prosperity and development .,"the spokesman said , the world , a total of 13 million , not only conforms to the development of the people's interests , but also conducive to world prosperity and development . ",0.51,0.0,"发言人 说 , 世人 共 知 , 中国 的 发展 不仅 符合 13 亿 中国人民 的 根本利益 , 也 有利于 世界 的 繁荣 与 发展 . the spokesman said , the world , a total of 13 million , not only conforms to the development of the people's interests , but also conducive to world prosperity and development . ","The spokesman said that the world's 13 million people are not only in the interests of the people, but also conducive to the prosperity and development of the world.",0.35742220143013376,0.1971112345481716,0.1212160960836829,0.580435062115368,0.4380815538172941,0.29127109670922446,0.16682803088915305
1,1,1,1,1,1,1.0,"在 国际 政治 舞台上 , 中国 是 一个 负责任 的 国家 , 对 维护 世界和平 与 稳定 发挥 了 积极 和 建设性 的 作用 .","in the international political arena , china is a responsible country and has been playing an active and constructive role in safeguarding the world's peace and stability .","in the international political arena , china is a responsible country that has contributed positively and constructively to uphold world peace and stability .",0.5996,1.0,"在 国际 政治 舞台上 , 中国 是 一个 负责任 的 国家 , 对 维护 世界和平 与 稳定 发挥 了 积极 和 建设性 的 作用 . in the international political arena , china is a responsible country that has contributed positively and constructively to uphold world peace and stability .","In the international political arena, China is a responsible country and has made positive and constructive contributions to the maintenance of world peace and stability.",0.5356044594877846,0.4978370820185328,0.4581199346534618,0.52,0.3894440481849308,0.30130293217187937,0.18608008857318278
2,2,2,2,2,2,2.0,"在 核 不 扩散 问题 上 , 中国 始终 严格 履行 有关 国际公约 , 坚决 反对 任何 形式 的 核扩散 , 主张 通过 协商 , 对话 和 加强 国际 监督 解决 这 类 问题 .","on the issue of nuclear non-proliferation , china has always strictly abided by relevant international conventions , firmly opposed nuclear proliferation in any form , and insisted on solving such issues through negotiations , talks and the strengthening of international supervision .","on the issue of non-proliferation of nuclear weapons , china has strictly enforced the international agreements and is opposed to any form of nuclear proliferation , and is advocating resolving these problems through negotiations , talks , and enhanced international monitoring .",0.6667,1.0,"在 核 不 扩散 问题 上 , 中国 始终 严格 履行 有关 国际公约 , 坚决 反对 任何 形式 的 核扩散 , 主张 通过 协商 , 对话 和 加强 国际 监督 解决 这 类 问题 . on the issue of non-proliferation of nuclear weapons , china has strictly enforced the international agreements and is opposed to any form of nuclear proliferation , and is advocating resolving these problems through negotiations , talks , and enhanced international monitoring .","On the issue of non-proliferation of nuclear weapons, China strictly enforces international agreements, opposes any form of nuclear proliferation, and advocates resolving these issues through negotiations, negotiations and strengthening international supervision.",0.4417261042993861,0.293617088084599,0.18805954584781664,0.4298207855350012,0.3007129196990577,0.2384423663189103,0.19040905603593666
3,3,3,3,3,3,3.0,"发言人 指出 , 令人 遗憾 的 是 , 海德 先生 无视 客观 事实 , 在 中美 关系 进一步 朝着 健康 , 稳定 发展 之 时 , 发表 这些 极 不 负责任 的 言论 , 完全 不 符合 中美 两 国 元首 不久 前 就 发展 两 国 关系 达成 的 共识 , 与 美国 社会 要求 加强 同 中国 的 合作 关系 的 主流 声音 背 道 而 弛 , 对 中美 关系 的 发展 无疑 是 有害 的 .","the spokesman points out that it is regrettable that mr. hyde has turned a blind eye to the facts and made such extremely irresponsible remarks as sino-us relations are witnessing a healthy and stable development , which completely runs counter to the common grounds on the development of bilateral ties reached recently by heads of states of china and the us , goes against the mainstream voice in us asking to strengthen the cooperative relations with china , and is certainly harmful to the development of sino-us relations .","the spokesman stated that it was regretful that mr. hyde ignored the objective facts and issued such irresponsible statements at a time when the sino-us relationship is heading towards healthy and stable progress . his statements contradicted the recent consensus in developing bilateral ties , reached by the state leaders of china and the u.s. they are running counter to the demand of mainstream u.s. society for enhancing the cooperative relationship with china , and will certainly harm the development of the sino-us relationship .",0.5326,1.0,"发言人 指出 , 令人 遗憾 的 是 , 海德 先生 无视 客观 事实 , 在 中美 关系 进一步 朝着 健康 , 稳定 发展 之 时 , 发表 这些 极 不 负责任 的 言论 , 完全 不 符合 中美 两 国 元首 不久 前 就 发展 两 国 关系 达成 的 共识 , 与 美国 社会 要求 加强 同 中国 的 合作 关系 的 主流 声音 背 道 而 弛 , 对 中美 关系 的 发展 无疑 是 有害 的 . the spokesman stated that it was regretful that mr. hyde ignored the objective facts and issued such irresponsible statements at a time when the sino-us relationship is heading towards healthy and stable progress . his statements contradicted the recent consensus in developing bilateral ties , reached by the state leaders of china and the u.s. they are running counter to the demand of mainstream u.s. society for enhancing the cooperative relationship with china , and will certainly harm the development of the sino-us relationship .","The spokesman said that as China-U.S. relations move towards healthy and stable development, Mr. Hyde ignored objective facts and made such irresponsible remarks. His remarks run counter to the consensus reached recently between the leaders of China and the United States on the development of bilateral relations, violate the demands of the mainstream American society to strengthen cooperation with China, and will certainly harm the development of China-U.S. relations.",0.34096588313579035,0.2235447241522928,0.12558673757871158,0.42525229541304016,0.2903623844629573,0.21066672715755325,0.15241076310862461
4,4,4,4,4,4,4.0,中国 最 大规模 的 海水 淡化 工程 落户 舟山,china's largest seawater desalination project to be kicked off in zhoushan,china's largest seawater desalination project begins in zhoushan,0.6014,1.0,中国 最 大规模 的 海水 淡化 工程 落户 舟山 china's largest seawater desalination project begins in zhoushan,China's largest desalination project has been launched in Zhoushan,0.5433498830984822,0.4682093438152369,0.4086646502016564,0.4444444444444444,0.23570226039551587,1.149168560061151e-102,7.241926111174567e-155
5,5,5,5,5,5,5.0,"新华社 杭州 12 月 6 日 电 ( 潘 一 峰 许 群 ) 迄今为止 中国 内地 规模 最 大 , 日 处理 量 达 1 万 吨 的 海水 淡化 工程 , 将 落户 浙江省 舟山 市 普陀 区 .","xinhua news agency report of december 6th from hangzhou ( by pan yifeng and xu qun ) - china's largest seawater desalination project in the mainland so far , with a daily production capacity of 10000 tons , is to be kicked off in the putuo district of zhoushan city in zhejiang province .","hangzhou , december 6 ( xinhua ) -- a chinese mainland so far the largest on the handling capacity of 1 million tons of sea water desalination project , will be settled down in the zhejiang zhoushan po area . ",0.4404,0.0,"新华社 杭州 12 月 6 日 电 ( 潘 一 峰 许 群 ) 迄今为止 中国 内地 规模 最 大 , 日 处理 量 达 1 万 吨 的 海水 淡化 工程 , 将 落户 浙江省 舟山 市 普陀 区 . hangzhou , december 6 ( xinhua ) -- a chinese mainland so far the largest on the handling capacity of 1 million tons of sea water desalination project , will be settled down in the zhejiang zhoushan po area . ","Hangzhou, Dec. 6 Chinese mainland The largest 1 million tons of desalination project to date will be located in the Zhoushan District of Zhejiang Province.",0.2010619795490277,0.092966693673678,1.8701798305763607e-78,0.2952837574641073,0.19729475934106105,0.12309587394387508,0.0808729732886739
6,6,6,6,6,6,6.0,"对于 深 受 缺 水 之 苦 的 舟山 居民 来 说 , 在 他们 身边 浩荡 了 千 百年 的 海水 即将 变成 清澈 甘 甜 的 自来水 流入 千家万户 .","for residents in zhoushan long accustomed to water shortages , the seawater surging beside them for hundreds of thousands of years will soon become clean and sweet tap water running into thousands of homes .","for zhoushan residents , who suffer greatly from water shortages , the vast and mighty seawater that has been flowing by their side for hundreds and thousands of years will soon become clear and sweet tap water that runs into tens of thousands of households .",0.5435,1.0,"对于 深 受 缺 水 之 苦 的 舟山 居民 来 说 , 在 他们 身边 浩荡 了 千 百年 的 海水 即将 变成 清澈 甘 甜 的 自来水 流入 千家万户 . for zhoushan residents , who suffer greatly from water shortages , the vast and mighty seawater that has been flowing by their side for hundreds and thousands of years will soon become clear and sweet tap water that runs into tens of thousands of households .","For Zhoushan residents who suffer greatly from water shortages, the vast and powerful waters of hundreds and thousands of years will soon become clear and sweet tap water, flowing through thousands of homes.",0.41119596982930745,0.3294829042969433,0.2518240882060371,0.5109052480467839,0.4402390805774702,0.3915058216518915,0.3475848885375826
7,7,7,7,7,7,7.0,"记者 从 有关部门 获悉 , 国家 海洋 局 杭州 水处理 技术 开发 中心 与 舟山 市 普陀 区 六 横 镇 政府 于 日前 签署 了 万 吨 海水 淡化 工程 合作 协议 .","according to relevant authorities , a cooperation agreement on a seawater desalination project with a daily production capacity of 10000 tons has recently been signed between the hangzhou development center of water treatment technology under the state oceanic administration and the liuheng township government of zhoushan city .","the relevant department , the hangzhou water treatment technology development center and zhoushan po town in six areas along the recently signed million tons of sea water desalination project cooperation agreement . ",0.41700000000000004,0.0,"记者 从 有关部门 获悉 , 国家 海洋 局 杭州 水处理 技术 开发 中心 与 舟山 市 普陀 区 六 横 镇 政府 于 日前 签署 了 万 吨 海水 淡化 工程 合作 协议 . the relevant department , the hangzhou water treatment technology development center and zhoushan po town in six areas along the recently signed million tons of sea water desalination project cooperation agreement . ","Relevant departments, Hangzhou Water Treatment Technology Development Center and Zhoushan Town along the six areas recently signed a million tons of desalination project cooperation agreement.",0.2244132130493693,0.10290212957481,1.9535143463024302e-78,0.37759749927831926,0.2827944205835675,0.1740560908091519,3.0054530573278834e-78
8,8,8,8,8,8,8.0,"工程 投资 5000 万 元 , 日 产 淡水 10000 吨 , 是 目前 内地 处理 规模 最 大 的 海水 淡化 工程 , 一 期 工程 预计 将 于 明年 建成 .",the project costs 50 million yuan and has a daily production capacity of 10000 tons of fresh water . it is presently the largest seawater desalination project in the mainland . the first-stage of construction is expected to be completed next year .,"investment of 50 million to $ 10000 tons of fresh produce , mainland china is the largest desalination project , the first phase construction is expected to be completed next year . ",0.5097,0.0,"工程 投资 5000 万 元 , 日 产 淡水 10000 吨 , 是 目前 内地 处理 规模 最 大 的 海水 淡化 工程 , 一 期 工程 预计 将 于 明年 建成 . investment of 50 million to $ 10000 tons of fresh produce , mainland china is the largest desalination project , the first phase construction is expected to be completed next year . ","With an investment of 50 million to 10,000 tons of fresh Chinese mainland is the largest desalination project in China, with the first phase expected to be completed next year.",0.40784166234419056,0.3318406805293204,0.27999997988569464,0.6635474398930369,0.5755489384541415,0.4931575804400574,0.39226714947352703
9,9,9,9,9,9,9.0,舟山 市 是 中国 缺 水 较 为 严重 的 城市 之一 .,zhoushan is one of chinese cities suffering from a serious water shortage .,zhoushan city is one of the chinese cities that suffers the most from water shortages .,0.5625,1.0,舟山 市 是 中国 缺 水 较 为 严重 的 城市 之一 . zhoushan city is one of the chinese cities that suffers the most from water shortages .,Zhoushan City is one of the cities most affected by water shortage.,0.3354101966249685,0.20354389488179725,3.6567243989863426e-78,0.4179765978347104,0.2857971242152912,0.2296772826095151,0.1747203074085696
