,source,ref,cand,qual,target,data,2gramBleu,3gramBleu,4gramBleu
0,巴林 公主 下 嫁 美 大兵 惊 世 婚姻 五 年 宣告 破裂,"bahraini princess marries us soldier , astonishing 5 year bond comes to end",bahraini princess marries a u.s. soldier ; astounding marriage dissolves in 5 years,0.3125,1,巴林 公主 下 嫁 美 大兵 惊 世 婚姻 五 年 宣告 破裂 bahraini princess marries a u.s. soldier ; astounding marriage dissolves in 5 years,0.25318484177091666,0.1830666761913796,3.3744794443119017e-78
1,"巴林 公主 梅 丽 安 ・ 哈 里 发 下 嫁 美国 陆 战 队 大兵 强 生 , 曾 获 美国 电视台 广 赞 为 美 事 , 但是 这 桩 波折 重重 的 婚姻 才 持续 五 年 , 如今 却 已 在 沙漠 赌 城 拉 斯 维 加 斯 画 下 句 点 .","the star-crossed marriage between bahraini princess meriam al-khalifa and us marine johnson was once extensively feted on us television . however , it has come to an end in the desert gambling town of las vegas after only five years .","u.s. television stations had once feted the marriage between bahraini princess meriam al-khalifa and u.s. marine johnson . however , after just five years , this star-crossed marriage has already come to an end in the desert casino city of las vegas .",0.6531,1,"巴林 公主 梅 丽 安 ・ 哈 里 发 下 嫁 美国 陆 战 队 大兵 强 生 , 曾 获 美国 电视台 广 赞 为 美 事 , 但是 这 桩 波折 重重 的 婚姻 才 持续 五 年 , 如今 却 已 在 沙漠 赌 城 拉 斯 维 加 斯 画 下 句 点 . u.s. television stations had once feted the marriage between bahraini princess meriam al-khalifa and u.s. marine johnson . however , after just five years , this star-crossed marriage has already come to an end in the desert casino city of las vegas .",0.5802202964991365,0.46546010534277227,0.37467378234973675
2,"梅 丽 安 是 海湾 国家 巴林 王室 的 成员 , 强 生 冒 着 赔 上 军旅 生涯 的 风险 投身 这 段 违禁 恋 曲 , 他们 两 人 的 婚姻 宛如 童话 故事 , 曾经 成为 一 部 电视 电影 的 主题 .","meriam is a member of the gulf country bahrain's royal family . johnson risked his army career over their forbidden love affair , their fairy-tale marriage became the subject of a television movie .","meri gulf state of bahrain , the royal family members , who bear the risk of military career in this paragraph , as their marriage like a fairy tale , has become a video film theme . ",0.3784,0,"梅 丽 安 是 海湾 国家 巴林 王室 的 成员 , 强 生 冒 着 赔 上 军旅 生涯 的 风险 投身 这 段 违禁 恋 曲 , 他们 两 人 的 婚姻 宛如 童话 故事 , 曾经 成为 一 部 电视 电影 的 主题 . meri gulf state of bahrain , the royal family members , who bear the risk of military career in this paragraph , as their marriage like a fairy tale , has become a video film theme . ",0.09978640061050119,6.516445363557894e-103,4.712028347038631e-155
3,"不过 , 据 拉 斯 维 加 斯 评论 报 报导 , 才 过 了 五 年 , 两 人 就 对 簿 公堂 , 梅 丽 安 向 法院 诉 请 离婚 , 地点 在 办 结婚 很 快 而 办 离婚 更 快 的 赌 城 .","but the las vegas review-journal reported that after only five years , the couple is headed to the court after meriam filed for divorce in the gambling town known for its quickie marriages and even quicker dissolutions .","however , according to the las vegas , commenting on newspaper reports over five years , the court , the court , and will very soon in marriage and divorce faster gamblers . ",0.3646,0,"不过 , 据 拉 斯 维 加 斯 评论 报 报导 , 才 过 了 五 年 , 两 人 就 对 簿 公堂 , 梅 丽 安 向 法院 诉 请 离婚 , 地点 在 办 结婚 很 快 而 办 离婚 更 快 的 赌 城 . however , according to the las vegas , commenting on newspaper reports over five years , the court , the court , and will very soon in marriage and divorce faster gamblers . ",0.2627381520013805,0.1820807421798444,0.11333583062790102
4,"他们 两 人 在 一九九九年 相遇 , 当时 强 生 还是 职业 军人 , 派 驻 在 巴林 .",the pair met in 1999 when career military man johnson was stationed in bahrain .,"the two met in 1999 , when johnson was still a career military man stationed in bahrain .",0.7778,1,"他们 两 人 在 一九九九年 相遇 , 当时 强 生 还是 职业 军人 , 派 驻 在 巴林 . the two met in 1999 , when johnson was still a career military man stationed in bahrain .",0.6049901419820201,0.45422818581230895,0.2794707345749595
5,"他 认识 这个 W 蔻 年华 的 小 公主 后 , 两 人 擦 出 爱 的 火花 , 他 的 生命 因而 出现 巨变 .",but his life changed dramatically when he met the beautiful teenage princess and the pair fell in love .,"after he met this teenage princess , the pair fell in love and his life thus changed tremendously .",0.7368,1,"他 认识 这个 W 蔻 年华 的 小 公主 后 , 两 人 擦 出 爱 的 火花 , 他 的 生命 因而 出现 巨变 . after he met this teenage princess , the pair fell in love and his life thus changed tremendously .",0.5353033790313108,0.373489038257749,0.28196524400046996
6,"由于 王室 禁止 这 对 小 情人 结合 , 强 生 为 梅 丽 安 变 装 , 让 她 穿上 绒布 衫 , 戴上 棒球 帽 , 并 为 她 伪 照 军方 证明 文件 , 把 她 偷偷 带 出 祖国 , 到达 美国 .","their union was forbidden by the royal family , so johnson disguised meriam in a flannel shirt and a baseball cap , forged her military identification papers and brought her out of her home country to america .","since the royal family forbade the union of these two young lovers , johnson smuggled meriam out of her country and into the united states by disguising her in a flannel shirt and a baseball cap , and forging her military identification papers .",0.6364,1,"由于 王室 禁止 这 对 小 情人 结合 , 强 生 为 梅 丽 安 变 装 , 让 她 穿上 绒布 衫 , 戴上 棒球 帽 , 并 为 她 伪 照 军方 证明 文件 , 把 她 偷偷 带 出 祖国 , 到达 美国 . since the royal family forbade the union of these two young lovers , johnson smuggled meriam out of her country and into the united states by disguising her in a flannel shirt and a baseball cap , and forging her military identification papers .",0.47115529818794444,0.39108901046351996,0.31564319743746444
7,"在 和 美国 当局 打 了 辛苦 的 移民 官司 后 , 小 俩 口 终于 在 以 华丽 闻名 的 拉 斯 维 加 斯 大道 上 的 烛光 婚礼 教堂 成 婚 , 当时 强 生 二十三 岁 , 新娘 子 则 仅 十九 岁 .","after a bitter immigration battle with us authorities , the couple finally married at the candlelight wedding chapel on the famed and glitzy las vegas strip when johnson was 23 and the bride only 19 .","after fighting a difficult immigration battle with the u.s. authorities , the couple was finally married at the candlelight wedding chapel on the las vegas strip , famous for its opulence . at that time , johnson was 23 , and the bride was only 19 .",0.6000,1,"在 和 美国 当局 打 了 辛苦 的 移民 官司 后 , 小 俩 口 终于 在 以 华丽 闻名 的 拉 斯 维 加 斯 大道 上 的 烛光 婚礼 教堂 成 婚 , 当时 强 生 二十三 岁 , 新娘 子 则 仅 十九 岁 . after fighting a difficult immigration battle with the u.s. authorities , the couple was finally married at the candlelight wedding chapel on the las vegas strip , famous for its opulence . at that time , johnson was 23 , and the bride was only 19 .",0.5398118697880839,0.4528372308522788,0.34654643563383913
8,"不过 , 强 生 表示 , 由于 被 称为 "" 罪恶 之 城 "" 的 拉 斯 维 加 斯 有 不少 诱惑 , 他 和 梅 丽 安 财 大势 大 的 娘家 又 一直 关系 紧张 , 加以 谣传 有 暗杀 他 的 阴谋 , 这 桩 历 尽 波折 的 婚姻 终于 撑 不 下去 .","however , johnson says that their star-crossed union comes to an end because of the temptations of the "" sin city "" of las vegas , the constant tensions with meriam's rich and powerful family and rumors of an assassination plot against him .","however , johnson stated that because of the many temptations in las vegas , so-called "" sin city , "" the continuous tensions between him and meriam's rich and powerful family , and the rumor of plots to assassinate him , this marriage , which had endured all kinds of hardships , finally dissolved .",0.5273,1,"不过 , 强 生 表示 , 由于 被 称为 "" 罪恶 之 城 "" 的 拉 斯 维 加 斯 有 不少 诱惑 , 他 和 梅 丽 安 财 大势 大 的 娘家 又 一直 关系 紧张 , 加以 谣传 有 暗杀 他 的 阴谋 , 这 桩 历 尽 波折 的 婚姻 终于 撑 不 下去 . however , johnson stated that because of the many temptations in las vegas , so-called "" sin city , "" the continuous tensions between him and meriam's rich and powerful family , and the rumor of plots to assassinate him , this marriage , which had endured all kinds of hardships , finally dissolved .",0.34230354536831364,0.2526869645885665,0.1561952793857821
9,"强 生 说 , 他 靠 为 饭店 和 赌 场 的 客人 停车 维 生 , 而 梅 丽 安 逐渐 深 陷 赌 城 的 夜生活 , 经常 在 深夜 上夜 店 , 不 把 他 这个 丈夫 放在眼里 .","johnson says his work was to park the cars of hotel and casino guests while meriam was increasingly tempted by the nightlife of the gambling city , frequenting clubs late at night and ignoring her husband .","johnson said that he worked as a parking valet for hotel and casino guests , while meriam gradually got sucked into the nightlife of the casino city . she frequented nightclubs late at night and ignored her husband .",0.5128,1,"强 生 说 , 他 靠 为 饭店 和 赌 场 的 客人 停车 维 生 , 而 梅 丽 安 逐渐 深 陷 赌 城 的 夜生活 , 经常 在 深夜 上夜 店 , 不 把 他 这个 丈夫 放在眼里 . johnson said that he worked as a parking valet for hotel and casino guests , while meriam gradually got sucked into the nightlife of the casino city . she frequented nightclubs late at night and ignored her husband .",0.4024218182927668,0.31656696081655045,0.22478613858269392
