,Unnamed: 0,Unnamed: 0.1,source,ref,cand,qual,target,data,backTrans,backTransGram1,backTransGram2,backTransGram3,backTransGram4,2gramBleu,3gramBleu,4gramBleu
0,0,0.0,巴林 公主 下 嫁 美 大兵 惊 世 婚姻 五 年 宣告 破裂,"bahraini princess marries us soldier , astonishing 5 year bond comes to end",bahraini princess marries a u.s. soldier ; astounding marriage dissolves in 5 years,0.3125,1.0,巴林 公主 下 嫁 美 大兵 惊 世 婚姻 五 年 宣告 破裂 bahraini princess marries a u.s. soldier ; astounding marriage dissolves in 5 years,Bahrain princess marries an American soldier; Shocking marriage disappears in 5 years,0.46002220731466165,0.33974891629179244,0.22297661725708123,3.83989672887229e-78,0.25318484177091666,0.1830666761913796,3.3744794443119017e-78
1,1,1.0,"巴林 公主 梅 丽 安 ・ 哈 里 发 下 嫁 美国 陆 战 队 大兵 强 生 , 曾 获 美国 电视台 广 赞 为 美 事 , 但是 这 桩 波折 重重 的 婚姻 才 持续 五 年 , 如今 却 已 在 沙漠 赌 城 拉 斯 维 加 斯 画 下 句 点 .","the star-crossed marriage between bahraini princess meriam al-khalifa and us marine johnson was once extensively feted on us television . however , it has come to an end in the desert gambling town of las vegas after only five years .","u.s. television stations had once feted the marriage between bahraini princess meriam al-khalifa and u.s. marine johnson . however , after just five years , this star-crossed marriage has already come to an end in the desert casino city of las vegas .",0.6531,1.0,"巴林 公主 梅 丽 安 ・ 哈 里 发 下 嫁 美国 陆 战 队 大兵 强 生 , 曾 获 美国 电视台 广 赞 为 美 事 , 但是 这 桩 波折 重重 的 婚姻 才 持续 五 年 , 如今 却 已 在 沙漠 赌 城 拉 斯 维 加 斯 画 下 句 点 . u.s. television stations had once feted the marriage between bahraini princess meriam al-khalifa and u.s. marine johnson . however , after just five years , this star-crossed marriage has already come to an end in the desert casino city of las vegas .","At one point, U.S. television supported the marriage of Bahraini Princess Merriam-Khalifa and U.S. Marine Johnson. However, just five years later, the star-studded marriage has ended in the desert casino city of Las Vegas.",0.3385727788109885,0.26620128757154005,0.2067820351651194,0.1584965526395304,0.5802202964991365,0.46546010534277227,0.37467378234973675
2,2,2.0,"梅 丽 安 是 海湾 国家 巴林 王室 的 成员 , 强 生 冒 着 赔 上 军旅 生涯 的 风险 投身 这 段 违禁 恋 曲 , 他们 两 人 的 婚姻 宛如 童话 故事 , 曾经 成为 一 部 电视 电影 的 主题 .","meriam is a member of the gulf country bahrain's royal family . johnson risked his army career over their forbidden love affair , their fairy-tale marriage became the subject of a television movie .","meri gulf state of bahrain , the royal family members , who bear the risk of military career in this paragraph , as their marriage like a fairy tale , has become a video film theme . ",0.3784,0.0,"梅 丽 安 是 海湾 国家 巴林 王室 的 成员 , 强 生 冒 着 赔 上 军旅 生涯 的 风险 投身 这 段 违禁 恋 曲 , 他们 两 人 的 婚姻 宛如 童话 故事 , 曾经 成为 一 部 电视 电影 的 主题 . meri gulf state of bahrain , the royal family members , who bear the risk of military career in this paragraph , as their marriage like a fairy tale , has become a video film theme . ","The Gulf state of Bahrain, a member of the royal family, who took the risk of a military career in this segment because their marriage was like a fairy tale, has become the subject of a video movie.",0.5526315789473685,0.42335784325129705,0.27461673192172453,0.1544458227548897,0.09978640061050119,6.516445363557894e-103,4.712028347038631e-155
3,3,3.0,"不过 , 据 拉 斯 维 加 斯 评论 报 报导 , 才 过 了 五 年 , 两 人 就 对 簿 公堂 , 梅 丽 安 向 法院 诉 请 离婚 , 地点 在 办 结婚 很 快 而 办 离婚 更 快 的 赌 城 .","but the las vegas review-journal reported that after only five years , the couple is headed to the court after meriam filed for divorce in the gambling town known for its quickie marriages and even quicker dissolutions .","however , according to the las vegas , commenting on newspaper reports over five years , the court , the court , and will very soon in marriage and divorce faster gamblers . ",0.3646,0.0,"不过 , 据 拉 斯 维 加 斯 评论 报 报导 , 才 过 了 五 年 , 两 人 就 对 簿 公堂 , 梅 丽 安 向 法院 诉 请 离婚 , 地点 在 办 结婚 很 快 而 办 离婚 更 快 的 赌 城 . however , according to the las vegas , commenting on newspaper reports over five years , the court , the court , and will very soon in marriage and divorce faster gamblers . ","However, according to Las Vegas, the review newspaper reported more than five years to the court, the court, and will soon be faster gamblers in marriage and divorce.",0.4612101411459368,0.31065976566752385,0.14666464888355993,2.708343370190618e-78,0.2627381520013805,0.1820807421798444,0.11333583062790102
4,4,4.0,"他们 两 人 在 一九九九年 相遇 , 当时 强 生 还是 职业 军人 , 派 驻 在 巴林 .",the pair met in 1999 when career military man johnson was stationed in bahrain .,"the two met in 1999 , when johnson was still a career military man stationed in bahrain .",0.7778,1.0,"他们 两 人 在 一九九九年 相遇 , 当时 强 生 还是 职业 军人 , 派 驻 在 巴林 . the two met in 1999 , when johnson was still a career military man stationed in bahrain .",The two met in 1999 when Johnson was still a professional soldier based in Bahrain.,0.49123845184678916,0.37899869375075673,0.30354114897266365,0.20743812223456545,0.6049901419820201,0.45422818581230895,0.2794707345749595
5,5,5.0,"他 认识 这个 W 蔻 年华 的 小 公主 后 , 两 人 擦 出 爱 的 火花 , 他 的 生命 因而 出现 巨变 .",but his life changed dramatically when he met the beautiful teenage princess and the pair fell in love .,"after he met this teenage princess , the pair fell in love and his life thus changed tremendously .",0.7368,1.0,"他 认识 这个 W 蔻 年华 的 小 公主 后 , 两 人 擦 出 爱 的 火花 , 他 的 生命 因而 出现 巨变 . after he met this teenage princess , the pair fell in love and his life thus changed tremendously .","After meeting the young princess, the two fell in love, and his life changed dramatically.",0.3574332245701694,0.24220780737004155,0.15366920054894684,2.7703740333922066e-78,0.5353033790313108,0.373489038257749,0.28196524400046996
6,6,6.0,"由于 王室 禁止 这 对 小 情人 结合 , 强 生 为 梅 丽 安 变 装 , 让 她 穿上 绒布 衫 , 戴上 棒球 帽 , 并 为 她 伪 照 军方 证明 文件 , 把 她 偷偷 带 出 祖国 , 到达 美国 .","their union was forbidden by the royal family , so johnson disguised meriam in a flannel shirt and a baseball cap , forged her military identification papers and brought her out of her home country to america .","since the royal family forbade the union of these two young lovers , johnson smuggled meriam out of her country and into the united states by disguising her in a flannel shirt and a baseball cap , and forging her military identification papers .",0.6364,1.0,"由于 王室 禁止 这 对 小 情人 结合 , 强 生 为 梅 丽 安 变 装 , 让 她 穿上 绒布 衫 , 戴上 棒球 帽 , 并 为 她 伪 照 军方 证明 文件 , 把 她 偷偷 带 出 祖国 , 到达 美国 . since the royal family forbade the union of these two young lovers , johnson smuggled meriam out of her country and into the united states by disguising her in a flannel shirt and a baseball cap , and forging her military identification papers .","Since the royal family banned the union of the two young lovers, Johnson disguised her figure in a flannel shirt and baseball cap and forged her military ID.",0.4033700871483995,0.30463666147979884,0.21809108513951,0.14607591212178636,0.47115529818794444,0.39108901046351996,0.31564319743746444
7,7,7.0,"在 和 美国 当局 打 了 辛苦 的 移民 官司 后 , 小 俩 口 终于 在 以 华丽 闻名 的 拉 斯 维 加 斯 大道 上 的 烛光 婚礼 教堂 成 婚 , 当时 强 生 二十三 岁 , 新娘 子 则 仅 十九 岁 .","after a bitter immigration battle with us authorities , the couple finally married at the candlelight wedding chapel on the famed and glitzy las vegas strip when johnson was 23 and the bride only 19 .","after fighting a difficult immigration battle with the u.s. authorities , the couple was finally married at the candlelight wedding chapel on the las vegas strip , famous for its opulence . at that time , johnson was 23 , and the bride was only 19 .",0.6,1.0,"在 和 美国 当局 打 了 辛苦 的 移民 官司 后 , 小 俩 口 终于 在 以 华丽 闻名 的 拉 斯 维 加 斯 大道 上 的 烛光 婚礼 教堂 成 婚 , 当时 强 生 二十三 岁 , 新娘 子 则 仅 十九 岁 . after fighting a difficult immigration battle with the u.s. authorities , the couple was finally married at the candlelight wedding chapel on the las vegas strip , famous for its opulence . at that time , johnson was 23 , and the bride was only 19 .","After a difficult immigration struggle with the United States, the couple finally got married in a candlelight wedding chapel on the Las Vegas Strip.Johnson was 23 years old and the bride was only 19 years old.",0.4502140959179107,0.3642411378562419,0.287097901401365,0.22509234971904712,0.5398118697880839,0.4528372308522788,0.34654643563383913
8,8,8.0,"不过 , 强 生 表示 , 由于 被 称为 "" 罪恶 之 城 "" 的 拉 斯 维 加 斯 有 不少 诱惑 , 他 和 梅 丽 安 财 大势 大 的 娘家 又 一直 关系 紧张 , 加以 谣传 有 暗杀 他 的 阴谋 , 这 桩 历 尽 波折 的 婚姻 终于 撑 不 下去 .","however , johnson says that their star-crossed union comes to an end because of the temptations of the "" sin city "" of las vegas , the constant tensions with meriam's rich and powerful family and rumors of an assassination plot against him .","however , johnson stated that because of the many temptations in las vegas , so-called "" sin city , "" the continuous tensions between him and meriam's rich and powerful family , and the rumor of plots to assassinate him , this marriage , which had endured all kinds of hardships , finally dissolved .",0.5273,1.0,"不过 , 强 生 表示 , 由于 被 称为 "" 罪恶 之 城 "" 的 拉 斯 维 加 斯 有 不少 诱惑 , 他 和 梅 丽 安 财 大势 大 的 娘家 又 一直 关系 紧张 , 加以 谣传 有 暗杀 他 的 阴谋 , 这 桩 历 尽 波折 的 婚姻 终于 撑 不 下去 . however , johnson stated that because of the many temptations in las vegas , so-called "" sin city , "" the continuous tensions between him and meriam's rich and powerful family , and the rumor of plots to assassinate him , this marriage , which had endured all kinds of hardships , finally dissolved .","However, Johnson said that due to the many temptations of Las Vegas, the so-called ""Sin City"", the ongoing tensions between him and Merriam's wealthy and powerful family, and rumors of a conspiracy to assassinate him,The marriage went through all kinds of hardships and finally dissipated.",0.4270599482222976,0.2787809802716222,0.19618952838672024,0.12888346144866444,0.34230354536831364,0.2526869645885665,0.1561952793857821
9,9,9.0,"强 生 说 , 他 靠 为 饭店 和 赌 场 的 客人 停车 维 生 , 而 梅 丽 安 逐渐 深 陷 赌 城 的 夜生活 , 经常 在 深夜 上夜 店 , 不 把 他 这个 丈夫 放在眼里 .","johnson says his work was to park the cars of hotel and casino guests while meriam was increasingly tempted by the nightlife of the gambling city , frequenting clubs late at night and ignoring her husband .","johnson said that he worked as a parking valet for hotel and casino guests , while meriam gradually got sucked into the nightlife of the casino city . she frequented nightclubs late at night and ignored her husband .",0.5128,1.0,"强 生 说 , 他 靠 为 饭店 和 赌 场 的 客人 停车 维 生 , 而 梅 丽 安 逐渐 深 陷 赌 城 的 夜生活 , 经常 在 深夜 上夜 店 , 不 把 他 这个 丈夫 放在眼里 . johnson said that he worked as a parking valet for hotel and casino guests , while meriam gradually got sucked into the nightlife of the casino city . she frequented nightclubs late at night and ignored her husband .","Johnson said that he used to be a parking valet for hotel and casino guests, and Merriam was gradually attracted by the casino nightlife.She often goes to nightclubs late at night, regardless of her husband.",0.48423023336025117,0.3738229903805682,0.3012013229963599,0.23301812555893392,0.4024218182927668,0.31656696081655045,0.22478613858269392
